2017-09-04,No School,,
2017-09-05,No School,,
2017-09-06,A,,
2017-09-07,B,,
2017-09-08,A,,
2017-09-11,B,,
2017-09-12,A,,
2017-09-13,B,,
2017-09-14,A,,
2017-09-15,B,,
2017-09-18,A,,
2017-09-19,B,,
2017-09-20,A,,
2017-09-21,No School,,
2017-09-22,No School,,
2017-09-25,B,,
2017-09-26,A,,
2017-09-27,B,,
2017-09-28,A,,
2017-09-29,B,,
2017-10-02,A,,
2017-10-03,B,,
2017-10-04,A,,
2017-10-05,B,,
2017-10-06,A,,
2017-10-09,No School,,
2017-10-10,B,,
2017-10-11,A,,
2017-10-12,B,,
2017-10-13,A,,
2017-10-16,B,,
2017-10-17,A,,
2017-10-18,B,,
2017-10-19,A,,
2017-10-20,No School,,
2017-10-23,B,,
2017-10-24,A,,
2017-10-25,B,,
2017-10-26,A,,
2017-10-27,B,,
2017-10-30,A,,
2017-10-31,B,,
2017-11-01,A,,
2017-11-02,B,,
2017-11-03,A,,
2017-11-06,B,,
2017-11-07,A,,
2017-11-08,B,,
2017-11-09,A,,
2017-11-10,No School,,
2017-11-13,B,,
2017-11-14,A,,
2017-11-15,B,,
2017-11-16,A,,
2017-11-17,B,,
2017-11-20,A,,
2017-11-21,B,,
2017-11-22,No School,,
2017-11-23,No School,,
2017-11-24,No School,,
2017-11-27,A,,
2017-11-28,B,,
2017-11-29,A,,
2017-11-30,B,,
2017-12-01,A,,
2017-12-04,B,,
2017-12-05,A,,
2017-12-06,B,,
2017-12-07,A,,
2017-12-08,B,,
2017-12-11,A,,
2017-12-12,B,,
2017-12-13,A,,
2017-12-14,B,,
2017-12-15,A,,
2017-12-18,B,,
2017-12-19,A,,
2017-12-20,B,,
2017-12-21,A,,
2017-12-22,B,,
2017-12-25,No School,,
2017-12-26,No School,,
2017-12-27,No School,,
2017-12-28,No School,,
2017-12-29,No School,,
2018-01-01,No School,,
2018-01-02,A,,
2018-01-03,B,,
2018-01-04,A,,
2018-01-05,B,,
2018-01-08,A,,
2018-01-09,B,,
2018-01-10,A,,
2018-01-11,B,,
2018-01-12,A,,
2018-01-15,No School,,
2018-01-16,B,,
2018-01-17,A,,
2018-01-18,B,,
2018-01-19,A,,
2018-01-22,Regents,grey,white
2018-01-23,Regents,grey,white
2018-01-24,Regents,grey,white
2018-01-25,Regents,grey,white
2018-01-26,A,grey,white
2018-01-29,B,,
2018-01-30,A,,
2018-01-31,B,,
2018-02-01,A,,
2018-02-02,B,,
2018-02-05,A,,
2018-02-06,B,,
2018-02-07,A,,
2018-02-08,B,,
2018-02-09,A,,
2018-02-12,B,,
2018-02-13,A,,
2018-02-14,B,,
2018-02-15,A,,
2018-02-16,B,,
2018-02-19,No School,,
2018-02-20,No School,,
2018-02-21,No School,,
2018-02-22,No School,,
2018-02-23,No School,,
2018-02-26,A,,
2018-02-27,B,,
2018-02-28,A,,
2018-03-01,B,,
2018-03-02,A,,
2018-03-05,B,,
2018-03-06,A,,
2018-03-07,B,,
2018-03-08,A,,
2018-03-09,B,,
2018-03-12,A,,
2018-03-13,B,,
2018-03-14,A,,
2018-03-15,B,,
2018-03-16,A,,
2018-03-19,B,,
2018-03-20,A,,
2018-03-21,B,,
2018-03-22,A,,
2018-03-23,B,,
2018-03-26,A,,
2018-03-27,B,,
2018-03-28,A,,
2018-03-29,B,,
2018-03-30,No School,,
2018-04-02,B,,
2018-04-03,A,,
2018-04-04,B,,
2018-04-05,A,,
2018-04-06,B,,
2018-04-09,A,,
2018-04-10,B,,
2018-04-11,A,,
2018-04-12,B,,
2018-04-13,A,,
2018-04-16,B,,
2018-04-17,A,,
2018-04-18,B,,
2018-04-19,A,,
2018-04-20,B,,
2018-04-23,A,,
2018-04-24,B,,
2018-04-25,A,,
2018-04-26,B,,
2018-04-27,A,,
2018-04-30,B,,
2018-05-01,A,,
2018-05-02,B,,
2018-05-03,A,,
2018-05-04,B,,
2018-05-07,A,,
2018-05-08,B,,
2018-05-09,A,,
2018-05-10,B,,
2018-05-11,A,,
2018-05-14,B,,
2018-05-15,A,,
2018-05-16,B,,
2018-05-17,A,,
2018-05-18,B,,
2018-05-21,A,,
2018-05-22,B,,
2018-05-23,A,,
2018-05-24,B,,
2018-05-25,A,,
2018-05-28,No School,,
2018-05-29,B,,
2018-05-30,A,,
2018-05-31,B,,
2018-06-01,A,,
2018-06-04,B,,
2018-06-05,A,,
2018-06-06,B,,
2018-06-07,A,,
2018-06-08,B,,
2018-06-11,A,,
2018-06-12,B,,
2018-06-13,A,,
2018-06-14,B,,
2018-06-15,A,,
2018-06-18,B,,
2018-06-19,A,,
2018-06-20,B,,
2018-06-21,A,,
2018-06-22,B,,
